IUCN_species,centroid_long,Latitude,abs_lat,region,clutch_size,Egg mass (g),incubation_d,body_mass,Beak_Length (culmen),HWI
Megascops sanctaecatarinae,-52.9973914,-28.67,28.67,others,NA,18.32,NA,179.7,19.4,18.8
Sporophila hypochroma,-58.35588916,-28.65,28.65,others,NA,1.49,NA,9.7,9.2,23.4
Donacospiza albifrons,-55.02829969,-28.61,28.61,others,NA,2.11,NA,16.5,12.9,15.3
Sporophila melanogaster,-50.25867375,-28.6,28.6,others,NA,1.44,NA,9.3,10.1,21.9
Tarphonomus certhioides,-63.47480747,-28.55,28.55,others,NA,3.61,NA,22.1,26.1,14.3
Tangara preciosa,-53.96911937,-28.49,28.49,others,NA,2.75,NA,22.8,14.8,21.1
Scytalopus pachecoi,-53.13669864,-28.47,28.47,others,NA,2.78,NA,15,11.7,7
Crithagra albogularis,20.35770665,-28.24,28.24,others,NA,2.21,NA,27.1,16.2,24.1
Emberizoides ypiranganus,-54.49399342,-28.22,28.22,others,NA,2.5,NA,20.1,13.4,11.7
Sporophila iberaensis,-57.25158204,-28.13,28.13,others,NA,NA,NA,8.5,9.2,19.7
Microcarbo coronatus,16.31776709,-28.09,28.09,others,NA,23,NA,762.2,34.6,34.2
Cinclodes pabsti,-49.77348407,-28.03,28.03,others,NA,6.62,NA,53,23.4,23.2
Petrochelidon spilodera,26.1643271,-27.96,27.96,others,NA,2.2,NA,20.6,11.1,46.9
Coccycua cinerea,-58.3074491,-27.92,27.92,others,NA,6.91,NA,41,23.1,24.6
Paroaria coronata,-60.48836096,-27.86,27.86,others,NA,3.98,NA,37.8,16.8,17.6
Chlorophoneus olivaceus,29.77008929,-27.84,27.84,others,NA,3,NA,33.6,20,11.1
Agelaioides badius,-60.12053166,-27.76,27.76,others,NA,4.1,13,45.3,18.9,18.1
Sternula balaenarum,17.1349138,-27.73,27.73,others,NA,12.63,NA,60,32.7,69.6
Tychaedon signata,30.47054738,-27.7,27.7,others,NA,NA,NA,38.2,22.8,13.2
Ptilinopus huttoni,-144.3452498,-27.61,27.61,others,NA,7.16,NA,130,26.3,25.9
Puffinus myrtae,-144.3499829,-27.61,27.61,others,NA,NA,NA,350.8,42.7,44.4
Scytalopus iraiensis,-50.31053953,-27.53,27.53,others,NA,2.43,NA,12.4,10.9,6.2
Cheramoeca leucosterna,134.3524944,-27.41,27.41,others,NA,1.68,NA,14.1,9,54.7
Geranoaetus melanoleucus,-60.93628756,-27.4,27.4,others,NA,98,NA,2378.6,50.5,36.6
Saltator aurantiirostris,-63.26897279,-27.35,27.35,others,NA,5.58,14,41.9,21.9,16.1
Phacellodomus sibilatrix,-61.34244493,-27.34,27.34,others,NA,2.8,NA,15.5,14.1,11.1
Poospiza whitii,-65.26976913,-27.26,27.26,others,NA,2.48,14,17,12.6,13.8
Serpophaga nigricans,-56.12136261,-27.22,27.22,others,NA,1.43,NA,8.5,13.1,13.8
Penelope obscura,-53.23478111,-27.18,27.18,others,NA,127.69,NA,1770,34.5,4.9
Tribonyx ventralis,134.2562365,-27.18,27.18,others,NA,24,NA,386.3,28.8,38.8
Myiothlypis leucoblephara,-53.46898508,-27.16,27.16,others,NA,2.4,NA,15.1,14.5,15.9
Lewinia pectoralis,146.0319908,-27.11,27.11,others,NA,12.5,NA,78.1,30.1,19.7
Lepidocolaptes falcinellus,-51.88123236,-27.04,27.04,others,NA,4.26,15.5,27.9,31.7,22.1
Turdus subalaris,-52.38758442,-27.03,27.03,others,NA,5.19,NA,49.5,19.7,28.5
Cranioleuca obsoleta,-52.70320252,-26.95,26.95,others,NA,2.6,NA,13.4,13.8,16
Strix chacoensis,-62.88550353,-26.95,26.95,others,NA,27.56,NA,330,33.5,26.6
Trichoglossus moluccanus,146.3331469,-26.88,26.88,others,NA,7.2,NA,113.3,24,45.9
Sporophila beltoni,-50.68834192,-26.8,26.8,others,NA,NA,NA,9.7,10.7,22.6
Myrmecocichla monticola,22.12455159,-26.77,26.77,others,NA,3.345,NA,33.1,22.4,24.4
Ortalis squamata,-51.11422673,-26.76,26.76,others,NA,57.41,NA,547.7,25,10
Sporophila ruficollis,-59.93041558,-26.76,26.76,others,NA,1.35,NA,8.6,9.2,19.7
Crithagra flaviventris,22.03054796,-26.73,26.73,others,NA,1.58,NA,16.2,11.6,22.8
Amblyramphus holosericeus,-56.9949171,-26.61,26.61,others,NA,4.53,NA,56.8,30.7,12.2
Oxyura ferruginea,-70.69832722,-26.56,26.56,others,NA,73,NA,608.2,50.6,37.7
Hemitriccus kaempferi,-48.80151066,-26.55,26.55,others,NA,1.44,NA,10,12.2,8.8
Metriopelia morenoi,-66.7245445,-26.53,26.53,others,NA,2.24,NA,28.6,12.9,27.2
Tangara peruviana,-48.69242841,-26.53,26.53,others,NA,2.67,NA,22.2,12.8,21.5
Certhilauda subcoronata,18.37453005,-26.42,26.42,others,NA,3.285,NA,40.4,24.7,21.7
Leptasthenura striolata,-50.95156883,-26.41,26.41,others,NA,2.16,NA,10.5,8.4,15.5
Petrochelidon nigricans,133.4889837,-26.41,26.41,others,NA,1.6,NA,15.4,10.3,53.2
HylopezusNAttereri,-51.45260222,-26.38,26.38,others,NA,4.47,NA,32,18.5,10.5
Cyclopsitta coxeni,152.1262851,-26.37,26.37,others,NA,NA,NA,41.8,17.8,34.8
Gelochelidon macrotarsa,136.6749323,-26.37,26.37,others,NA,NA,NA,218.3,50.1,62.5
Cinnyris fuscus,19.22089478,-26.33,26.33,others,NA,0.97,NA,7.8,21.3,17.6
Cecropis cucullata,24.48597028,-26.31,26.31,others,NA,2.45,NA,27.1,11.3,50.6
Picumnus temminckii,-51.60648504,-26.31,26.31,others,NA,1.52,NA,11.5,12.2,13.2
Phylloscartes kronei,-48.47781936,-26.29,26.29,others,NA,1.4,NA,8.3,9.1,17.5
Cinclosoma marginatum,122.5100984,-26.22,26.22,others,NA,8,NA,62.4,19.1,24.8
Formicivora acutirostris,-48.74997687,-26.2,26.2,others,NA,NA,NA,10,15.4,9.6
Saltator multicolor,-61.83530817,-26.19,26.19,others,NA,NA,NA,22.2,14.8,13.1
Saltator maxillosus,-50.80781723,-26.11,26.11,others,NA,4.83,NA,50.8,20.8,13.7
Attila phoenicurus,-51.09815734,-25.99,25.99,others,NA,3.49,NA,32.3,21.1,20.6
Calendulauda erythrochlamys,15.77625999,-25.98,25.98,others,NA,2.53,NA,28.1,17.5,19.2
Atlapetes citrinellus,-65.14244909,-25.89,25.89,others,NA,3.05,NA,28,13.2,11.5
Cacicus chrysopterus,-55.35739268,-25.88,25.88,others,NA,3.36,NA,36.2,24.3,17.8
Leptasthenura setaria,-50.64741083,-25.85,25.85,others,NA,2.23,NA,11,14.3,19.5
Clibanornis dendrocolaptoides,-51.97608604,-25.83,25.83,others,NA,6.16,NA,48.2,26.1,10.6
Melanerpes cactorum,-61.97511914,-25.83,25.83,others,NA,3.8,NA,34.9,21.1,24.9
Piprites pileata,-50.08382274,-25.79,25.79,others,NA,2.09,NA,15,11.4,26.1
Paroaria capitata,-59.38570029,-25.77,25.77,others,NA,2.4,NA,22.3,15.1,13.5
Polioptila lactea,-52.39393142,-25.76,25.76,others,NA,1.06,NA,6.5,12,11.4
Stephanoxis loddigesii,-52.51101624,-25.76,25.76,others,NA,0,NA,4,16.9,64.1
Phacellodomus ferrugineigula,-48.88978681,-25.74,25.74,others,NA,3.88,NA,24.5,19,9.7
Piculus aurulentus,-50.96027083,-25.73,25.73,others,NA,4.95,NA,75,25.7,20.4
Microspingus melanoleucus,-61.07537859,-25.61,25.61,others,NA,NA,NA,13.1,13.2,16.4
Veniliornis spilogaster,-51.64931021,-25.59,25.59,others,NA,3.32,NA,40.3,23.8,18.8
Mackenziaena leachii,-50.15812008,-25.57,25.57,others,NA,8.5,NA,70.2,26,5
Myrmotherula unicolor,-47.47532504,-25.56,25.56,others,NA,1.92,NA,11.5,12.7,12.9
Certhilauda chuana,26.11468249,-25.51,25.51,others,NA,3.41,15.6,44.1,17.2,21.6
Euphonia chalybea,-51.19220383,-25.51,25.51,others,NA,1.97,NA,19,13.6,25.7
Eolophus roseicapilla,134.8572358,-25.5,25.5,others,NA,13.7,NA,328,31.1,44.9
Pterodroma defilippiana,-85.39963927,-25.48,25.48,others,NA,34.03,NA,169,27.5,62.8
Taeniopygia castanotis,134.5293096,-25.46,25.46,others,NA,NA,NA,12,11.1,22.2
Carpornis cucullata,-47.54182811,-25.4,25.4,others,NA,10.3,NA,74.2,18.3,19.8
Chunga burmeisteri,-62.3776834,-25.38,25.38,others,NA,70.21,NA,1298,59.2,10.7
Petrochelidon ariel,135.9094038,-25.34,25.34,others,NA,1.43,NA,10.8,8.7,50.7
Heliobletus contaminatus,-50.4226223,-25.33,25.33,others,NA,2.64,NA,14,14.7,19.9
Celeus galeatus,-53.14678869,-25.32,25.32,others,NA,6.83,NA,124,34.8,19
Anabacerthia amaurotis,-50.10621484,-25.27,25.27,others,NA,3.28,NA,19.2,18.2,15.5
Afrotis afraoides,21.88605332,-25.21,25.21,others,NA,46.59,NA,745,34.9,37.1
Hylophilus poicilotis,-51.17674321,-25.2,25.2,others,NA,1.78,NA,10.4,13.4,12.6
Agricola infuscatus,20.61556956,-25.18,25.18,others,NA,NA,NA,32.4,18,25.7
Chamaeza ruficauda,-48.16412889,-25.14,25.14,others,NA,8.06,NA,71.2,18.8,14.8
Molothrus rufoaxillaris,-56.38937481,-25.13,25.13,others,NA,4.31,NA,47.5,18.3,27.6
Phylloscartes ventralis,-53.84617771,-25.13,25.13,others,NA,1.43,NA,8.3,12.6,14.9
Drymophila malura,-49.95508913,-25.09,25.09,others,NA,2.19,NA,13,14.9,10.7
Acrocephalus vaughani,-130.1044415,-25.07,25.07,others,NA,2.71,NA,24.4,20.4,17.1
Eleothreptus anomalus,-54.98718005,-25.06,25.06,others,NA,5.34,NA,43.7,20,40
Ptyonoprogne fuligula,23.32572615,-25.05,25.05,others,NA,2.22,NA,21.1,12.8,53.8
Melanopareia maximiliani,-61.98017754,-25.02,25.02,others,NA,2.78,NA,18,14.3,6.7
Phylloscartes difficilis,-47.00629314,-24.98,24.98,others,NA,1.25,NA,6.9,11.8,11.7
Psilopsiagon aymara,-66.13107057,-24.98,24.98,others,NA,2.94,NA,30,12.5,41.5
Drymophila rubricollis,-51.67967707,-24.97,24.97,others,NA,1.71,NA,10,15,9.6
Malurus assimilis,134.0390389,-24.96,24.96,others,NA,NA,NA,8,11.7,13.5
Sporophila caerulescens,-56.63208153,-24.9,24.9,others,NA,1.5,NA,9.7,10.3,18.7
Lophospingus pusillus,-62.76408754,-24.79,24.79,others,NA,2.02,NA,14.4,11.9,14.4
Macropsalis forcipata,-48.13610126,-24.69,24.69,others,NA,12.62,NA,115,20,53.9
Eudromia formosa,-61.9123445,-24.65,24.65,others,NA,53.4,NA,772.9,32.5,21.7
Castanozoster thoracicus,-47.19833155,-24.62,24.62,others,NA,NA,NA,11.9,12.5,18
Phacellodomus maculipectus,-65.25708313,-24.51,24.51,others,NA,3.83,NA,21.9,16.5,10.5
Haplospiza unicolor,-49.53001227,-24.5,24.5,others,NA,2.1,NA,15.3,13.7,18.4
Veniliornis mixtus,-57.01494469,-24.45,24.45,others,NA,2.75,NA,28.7,17.9,18.5
Cichlocolaptes holti,-48.05533509,-24.42,24.42,others,NA,NA,NA,50,29.1,15.7
Spizocorys starki,17.59084269,-24.42,24.42,others,NA,2.01,NA,18.5,12.6,25.1
Acrocephalus taiti,-128.3228882,-24.38,24.38,others,NA,2.7,NA,24.3,20.5,17
Ptilinopus insularis,-128.3154918,-24.36,24.36,others,NA,6.01,NA,104,20.3,25.2
Vini stepheni,-128.3154918,-24.36,24.36,others,NA,4.07,NA,55,15,42.9
Poospizopsis hypocondria,-65.9710411,-24.3,24.3,others,NA,NA,NA,21.2,16.2,15.8
Psilorhamphus guttatus,-48.68123502,-24.3,24.3,others,NA,2.28,NA,11.3,16.4,8.9
Campephilus leucopogon,-62.1928346,-24.23,24.23,others,NA,7.9,NA,249,46.5,25.7
Coua verreauxi,44.28924675,-24.23,24.23,others,NA,14.85,NA,99,21,10.2
Calicalicus rufocarpalis,44.1236814,-24.22,24.22,others,NA,2.03,NA,16.8,17,6.4
Phylloscartes sylviolus,-49.1420758,-24.22,24.22,others,NA,1.37,NA,8,9.3,13.9
Crithagra gularis,27.90613608,-24.19,24.19,others,NA,1.69,NA,16,13.6,23.3
Monticola imerina,44.43090445,-24.19,24.19,others,NA,3.21,NA,28.3,21,16.7
Muscisaxicola cinereus,-67.76621314,-24.18,24.18,others,NA,2.39,NA,18.6,16.8,29.6
Onychorhynchus swainsoni,-47.11529356,-24.16,24.16,others,NA,1.76,NA,17,27.9,17
Biatas nigropectus,-47.41742001,-24.14,24.14,others,NA,5.63,NA,30,20.8,9.9
Xenopirostris xenopirostris,44.59242761,-24.12,24.12,others,NA,3.97,NA,59.5,26.3,10
Paraclaravis geoffroyi,-46.91559693,-24.08,24.08,others,NA,NA,NA,43.5,17.4,34.7
Dacnis nigripes,-46.27314991,-24.04,24.04,others,NA,1.93,14,14,14.4,28.9
Sporophila hypoxantha,-57.44256214,-24.04,24.04,others,NA,1.46,NA,10.5,9.7,24.9
Phylloscartes paulista,-49.35662329,-24,24,others,NA,1.31,NA,7.5,10.2,13.8
RamphodonNAevius,-45.77844433,-23.93,23.93,others,NA,0.93,NA,7.9,39.4,58.6
Sicalis luteola,-64.23766998,-23.92,23.92,others,NA,2.13,NA,15.9,9.3,21.1
Sylvia subcoerulea,21.97272287,-23.9,23.9,others,NA,1.71,NA,14.6,13.1,16.8
Pseudoleistes guirahuro,-52.38493442,-23.88,23.88,others,NA,5.81,NA,86.4,30.5,23.2
Geospizopsis unicolor,-70.38550734,-23.87,23.87,others,NA,NA,NA,21.9,13.7,17.1
Knipolegus striaticeps,-61.9376635,-23.86,23.86,others,NA,1.7,NA,11,15.3,18.9
Aeronautes andecolus,-68.87269007,-23.75,23.75,others,NA,1.86,NA,17.6,7,70.3
Cinnyris neergaardi,33.8268484,-23.73,23.73,others,NA,1.06,NA,6.1,15.9,13
Calendulauda sabota,22.85443219,-23.72,23.72,others,NA,2.43,NA,24.7,16.3,18.5
Herpsilochmus rufimarginatus,-50.39906497,-23.71,23.71,others,NA,1.87,NA,10.6,14.9,7.3
Nesillas lantzii,44.67848454,-23.7,23.7,others,NA,2.36,NA,19.7,15.4,11.7
Myioborus brunniceps,-65.10466452,-23.69,23.69,others,NA,1.47,NA,9.2,12.5,14.3
Newtonia archboldi,44.67905703,-23.65,23.65,others,NA,1.34,NA,7.8,13.1,11.8
Pterodroma baraui,74.86367818,-23.62,23.62,others,NA,60,NA,400,32.1,58
Pulsatrix koeniswaldiana,-48.2410847,-23.61,23.61,others,NA,33.2,35,481,38.8,25.6
Campylorhamphus falcularius,-48.33267229,-23.57,23.57,others,NA,5.52,NA,42.6,71.2,14
Microcarbo melanoleucos,144.1203664,-23.55,23.55,others,NA,26,NA,727.4,37.4,36.8
Cypseloides rothschildi,-64.66378212,-23.54,23.54,others,NA,3.81,NA,44.7,7.3,59.1
Orthogonys chloricterus,-45.73710119,-23.52,23.52,others,NA,4.01,NA,39,24,23.8
Alopochelidon fucata,-56.90213578,-23.48,23.48,tropical,NA,1.67,NA,14,9,49.9
Phyllomyias burmeisteri,-50.34459249,-23.46,23.46,tropical,NA,1.7,NA,11.1,11.4,23.3
Myiornis auricularis,-49.18278316,-23.42,23.42,tropical,NA,1.04,NA,5.3,11.3,10.2
Poecilotriccus plumbeiceps,-50.74046905,-23.42,23.42,tropical,NA,1.09,NA,5.7,14,9.4
Mirafra fasciolata,22.66455168,-23.38,23.38,tropical,NA,2.55,NA,26.9,16,16.5
Porphyriops melanops,-53.21743518,-23.34,23.34,tropical,NA,16.95,NA,191,25.2,34
Sporophila pileata,-52.65018872,-23.25,23.25,tropical,NA,1.38,NA,8.6,8.1,19.4
Laterallus xenopterus,-56.60130806,-23.24,23.24,tropical,NA,8.72,NA,56.9,17.9,17.8
Pogonotriccus eximius,-49.0777149,-23.23,23.23,tropical,NA,1.31,NA,7.5,10.9,17.4
Pteroglossus bailloni,-48.69979523,-23.23,23.23,tropical,NA,12.01,NA,146,69.4,14.5
Saltator fuliginosus,-48.38833689,-23.21,23.21,tropical,NA,4.8,NA,50.5,25.8,14
Coua olivaceiceps,44.52723839,-23.2,23.2,tropical,NA,NA,NA,180,27,7.6
Dessonornis humeralis,30.29960217,-23.15,23.15,tropical,NA,NA,NA,22.8,17.1,11.9
Elaenia strepera,-64.63369538,-23.09,23.09,tropical,NA,2.38,NA,19.3,12.5,21.6
Trogon surrucura,-51.01407221,-23.08,23.08,tropical,NA,9.05,NA,73.3,19.4,39.2
Mackenziaena severa,-48.81305987,-23.07,23.07,tropical,NA,6.72,NA,51.8,26.3,9.3
Ephippiospingus dorsalis,-67.12566402,-23.05,23.05,tropical,NA,NA,NA,38.1,14.8,18.4
Myrmotherula minor,-44.63162956,-22.98,22.98,tropical,NA,1.18,NA,6.4,12.7,10.4
Touit melanonotus,-44.6638835,-22.92,22.92,tropical,NA,4.99,NA,66.5,18.5,42
Eleoscytalopus indigoticus,-46.37532732,-22.81,22.81,tropical,NA,2.92,NA,16.2,15,7.6
Microspingus erythrophrys,-64.84889743,-22.77,22.77,tropical,NA,NA,NA,14.1,13.3,13.7
Tachyphonus coronatus,-49.70155594,-22.76,22.76,tropical,NA,3.26,NA,29.3,18.5,17.3
Megascops atricapilla,-49.6912406,-22.72,22.72,tropical,NA,14.11,NA,118.9,21.9,25
Arremon semitorquatus,-45.36031074,-22.7,22.7,tropical,NA,3.02,NA,25,15.2,6.1
Hypoedaleus guttatus,-48.6598819,-22.7,22.7,tropical,NA,5.27,NA,38.8,27.8,7.6
Acrocephalus rimitarae,-152.8050033,-22.65,22.65,tropical,NA,2.83,NA,26.5,24.6,16.7
Xanthomixis apperti,44.73313378,-22.61,22.61,tropical,NA,1.87,NA,14.6,13.6,12.4
Phegornis mitchellii,-68.80166237,-22.6,22.6,tropical,NA,11.7,NA,35.5,29.3,38.3
Neomixis pallidior,44.99770931,-22.59,22.59,tropical,NA,NA,NA,8.3,14,12.2
Coua pyropyga,44.73997973,-22.56,22.56,tropical,NA,NA,NA,147,23.9,9.2
Phylloscartes oustaleti,-44.20024485,-22.55,22.55,tropical,NA,1.59,NA,10,12.9,14.7
Coryphospingus cucullatus,-55.95142244,-22.49,22.49,tropical,NA,1.94,NA,14.3,13.6,11.2
Calyptura cristata,-42.99995329,-22.48,22.48,tropical,NA,1,NA,20,8.5,7.9
Hemitriccus diops,-47.43803801,-22.46,22.46,tropical,NA,1.58,NA,10,12.9,11.5
Crithagra citrinipectus,33.35571819,-22.45,22.45,tropical,NA,1.31,NA,11.2,9.4,24.2
Terenura maculata,-47.39711756,-22.45,22.45,tropical,NA,1.19,NA,6.5,13.8,8.2
Neopelma chrysolophum,-44.89831173,-22.44,22.44,tropical,NA,2.11,NA,14.2,11.8,22
Uratelornis chimaera,43.63870342,-22.44,22.44,tropical,NA,21.61,NA,226,35.4,15.6
Lipaugus conditus,-42.97864033,-22.42,22.42,tropical,NA,NA,NA,80,18.7,14
Megascops hoyi,-64.62034541,-22.39,22.39,tropical,NA,13.44,NA,110,22.2,27.4
Hemitriccus orbitatus,-47.41648978,-22.37,22.37,tropical,NA,1.56,NA,9.7,13.8,13.6
Notharchus swainsoni,-48.67323375,-22.37,22.37,tropical,NA,8.88,NA,73.8,34.8,29.6
Dysithamnus stictothorax,-45.83901073,-22.36,22.36,tropical,NA,2.54,NA,16.2,18.6,8.1
Laniisoma elegans,-44.62238588,-22.35,22.35,tropical,NA,5.18,NA,47.4,21,25.8
Phyllomyias griseocapilla,-44.41767559,-22.35,22.35,tropical,NA,1.37,NA,8,9.5,14.2
Sporophila collaris,-55.41460515,-22.25,22.25,tropical,NA,1.88,NA,13.5,12,19.2
Elaenia sordida,-49.28605942,-22.24,22.24,tropical,NA,NA,NA,23.9,13.9,19
Myiothlypis rivularis,-47.34645865,-22.23,22.23,tropical,NA,1.99,NA,13.5,15.2,15.3
Rhea tarapacensis,-67.75071806,-22.22,22.22,tropical,NA,NA,NA,23900,75.6,0
Philydor atricapillus,-47.84709603,-22.21,22.21,tropical,NA,3.62,NA,22.2,18.5,18.6
Melanerpes flavifrons,-48.75411234,-22.06,22.06,tropical,NA,4.42,NA,57.8,27.1,26.6
Carterornis leucotis,148.7892298,-22.03,22.03,tropical,NA,1.83,NA,11.4,15.3,17
Metriopelia aymara,-68.27795497,-22.02,22.02,tropical,NA,4.1,NA,61.8,12.9,39.2
Calendulauda africanoides,23.08644724,-22.01,22.01,tropical,NA,2.26,NA,23.4,14.3,16.3
Chamaeza meruloides,-44.78689294,-22,22,tropical,NA,7.94,NA,69,18.6,13.3
Aegotheles savesi,166.4845626,-21.96,21.96,tropical,NA,5.91,NA,59.4,21.6,20.9
Todiramphus ruficollaris,-157.925468,-21.91,21.91,tropical,NA,7.8,NA,34.9,37.2,18.2
Drymophila ochropyga,-45.83346508,-21.9,21.9,tropical,NA,1.77,NA,10.5,16.1,8.8
Crithagra atrogularis,23.4388964,-21.89,21.89,tropical,NA,1.26,NA,11.4,10.8,26.7
Jacamaralcyon tridactyla,-46.11031117,-21.86,21.86,tropical,NA,4.15,19.5,18.3,47.1,25.2
Poodytes carteri,130.3872566,-21.84,21.84,tropical,NA,1.84,NA,12.2,14.8,13.6
Microspingus lateralis,-43.5963526,-21.79,21.79,tropical,NA,NA,NA,19.2,12.2,13.5
Hemitriccus furcatus,-44.02781836,-21.77,21.77,tropical,NA,1.44,NA,8.6,10.2,10.3
Sporophila frontalis,-44.64790314,-21.74,21.74,tropical,NA,1.6,NA,20.4,14.1,19.6
Microstilbon burmeisteri,-64.35045725,-21.72,21.72,tropical,NA,0.36,NA,2.5,17.5,60.8
Drymophila genei,-43.1519032,-21.59,21.59,tropical,NA,1.86,NA,11.1,14.9,11.7
Catamenia analis,-69.56594457,-21.57,21.57,tropical,NA,1.8,NA,12,10.6,15.5
Edolisoma anale,165.8744926,-21.57,21.57,tropical,NA,8.34,NA,82.4,29.1,24.9
Attila rufus,-43.8646693,-21.55,21.55,tropical,NA,4.25,NA,42.6,29.2,13.4
Leucocarbo bougainvilliorum,-73.3649743,-21.54,21.54,tropical,NA,NA,NA,2485,69.7,36.8
Ammomanopsis grayi,14.38806058,-21.53,21.53,tropical,NA,2.55,NA,21.4,14.3,24.1
Asthenes heterura,-65.50107694,-21.53,21.53,tropical,NA,2.57,NA,13.5,13.9,13.7
Vidua regia,23.43460726,-21.5,21.5,tropical,NA,1.31,NA,14.4,11.4,23.1
Baryphthengus ruficapillus,-48.18082137,-21.49,21.49,tropical,NA,24,NA,141.7,45.1,16
Gymnomyza aubryana,165.8201117,-21.47,21.47,tropical,NA,14.26,NA,195.1,49.9,17.9
Eunymphicus cornutus,165.6591584,-21.43,21.43,tropical,NA,8.3,NA,130,22.6,40
Ilicura militaris,-46.40961007,-21.4,21.4,tropical,NA,2.1,NA,12.7,9.4,22.6
Merulaxis ater,-43.75109728,-21.4,21.4,tropical,NA,4.98,NA,35,21.2,5.3
Arremon dorbignii,-64.87704216,-21.39,21.39,tropical,NA,NA,NA,26.1,15.2,10.3
Scytalopus petrophilus,-44.72003309,-21.39,21.39,tropical,NA,NA,NA,13.5,11.7,10.3
Campephilus robustus,-48.53405828,-21.36,21.36,tropical,NA,10.63,NA,200,49.7,20.1
Conirostrum tamarugense,-69.30301543,-21.35,21.35,tropical,NA,1.57,NA,10.5,10.4,20.5
Sporophila falcirostris,-44.42447665,-21.35,21.35,tropical,NA,1.6,NA,10.8,11,20.4
Zosterops xanthochroa,165.5955614,-21.35,21.35,tropical,NA,1.32,NA,10.3,14.4,18.1
Acrocephalus kerearako,-157.8684054,-21.34,21.34,tropical,NA,2.57,NA,22.5,21.3,18.1
Ducula goliath,165.5010596,-21.34,21.34,tropical,NA,23.17,NA,600,40.8,28.5
Myzomela caledonica,165.4993482,-21.34,21.34,tropical,NA,1.15,NA,7,14.5,19.2
Pachycephala caledonica,165.4993482,-21.34,21.34,tropical,NA,3.16,NA,22.7,18,17.9
Megalurulus mariae,165.4819723,-21.33,21.33,tropical,NA,NA,NA,25,18.2,13.2
Veniliornis frontalis,-64.66596963,-21.33,21.33,tropical,NA,3.13,NA,36.7,20.1,18.2
Aplonis striata,165.7080921,-21.32,21.32,tropical,NA,4.67,NA,54.2,19.5,24.8
Philemon diemenensis,165.702131,-21.32,21.32,tropical,NA,6.12,17,65.9,35.7,20.3
Rhipidura verreauxi,165.699571,-21.32,21.32,tropical,NA,1.85,NA,12.9,11.6,20.6
Pseudobulweria aterrima,55.99196734,-21.3,21.3,tropical,NA,51.66,NA,232,35.1,52.8
Todirostrum poliocephalum,-44.86134013,-21.27,21.27,tropical,NA,1.25,NA,5.6,13.8,12.5
Malacoptila striata,-46.03308608,-21.24,21.24,tropical,NA,6.04,12,44.1,28.6,20.6
Aplonis cinerascens,-159.7717495,-21.23,21.23,tropical,NA,6.21,NA,82.9,26.4,23.2
Knipolegus lophotes,-49.26657082,-21.21,21.21,tropical,NA,3.46,NA,31.8,22.3,26.4
Corydospiza alaudina,-70.07013607,-21.18,21.18,tropical,NA,NA,NA,23.9,14.6,20.4
Drymophila ferruginea,-44.8207352,-21.15,21.15,tropical,NA,1.8,NA,10.6,16.1,6
Hypsipetes borbonicus,55.54011988,-21.12,21.12,tropical,NA,5.04,NA,55.3,24.8,22.1
Phrygilus atriceps,-67.75719789,-21.12,21.12,tropical,NA,2.85,NA,24.3,17.9,21.9
Zosterops borbonicus,55.54011988,-21.12,21.12,tropical,NA,1.15,NA,8.2,12.5,18.6
Zosterops olivaceus,55.54011988,-21.12,21.12,tropical,NA,1.23,NA,9.1,13.9,22.3
Dessonornis caffer,28.86775116,-21.08,21.08,tropical,NA,NA,NA,28.5,18.8,14.6
Patagioenas picazuro,-52.91683628,-21.04,21.04,tropical,NA,13.34,NA,279,25.3,37.6
Penelope dabbenei,-64.35106951,-21.04,21.04,tropical,NA,99.82,NA,1230,35.4,12.3
Lalage newtoni,55.44326662,-20.96,20.96,tropical,NA,7.1,NA,40,19.5,21.7
Leptasthenura berlepschi,-66.7194001,-20.94,20.94,tropical,NA,NA,NA,10.7,10.2,17.2
Zosterops inornatus,167.2257587,-20.94,20.94,tropical,NA,1.34,NA,22.9,20.1,17.6
Zosterops minutus,167.2257587,-20.94,20.94,tropical,NA,1.34,NA,8.3,13.3,19.3
Ardea plumifera,139.67374,-20.92,20.92,tropical,NA,NA,NA,458.8,77,34.5
Ochetorhynchus andaecola,-66.58201485,-20.92,20.92,tropical,NA,4.57,NA,30.9,28.1,10.9
Granatina granatina,23.4954308,-20.9,20.9,tropical,NA,NA,NA,11.8,9.9,16.7
Tockus damarensis,15.87540432,-20.86,20.86,tropical,NA,12.75,NA,138.6,76.8,17.4
Lophotis ruficrista,23.24154624,-20.84,20.84,tropical,NA,46,NA,712.1,37.4,37.5
Carpornis melanocephala,-43.6707819,-20.8,20.8,tropical,NA,6.85,NA,64.2,19,21.1
Hemithraupis ruficapilla,-44.43643394,-20.74,20.74,tropical,NA,1.73,NA,11,14.5,20.3
Glaucidium minutissimum,-46.99464292,-20.7,20.7,tropical,NA,8.29,NA,50,14.6,21.1
Ptilinopus rarotongensis,-159.0096674,-20.66,20.66,tropical,NA,6.67,NA,118.5,16.1,24.1
Saltator similis,-51.92379513,-20.65,20.65,tropical,NA,4.36,NA,43.3,20.3,15.1
Vini kuhlii,-156.9178644,-20.59,20.59,tropical,NA,4.33,NA,40,16.8,46.8
Eunymphicus uvaeensis,166.5679935,-20.57,20.57,tropical,NA,8.3,NA,130,25.8,38.1
